nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6275724158336562,0.606578760322599,0.6457916807729956,nan
2,0.6350626660171667,0.6290447586768393,0.6545133221159272,nan
3,0.6428900916256476,0.5957166207165161,0.6754947727390319,nan
4,0.6388405068551808,0.5889312490154248,0.6726401245948611,nan
5,0.6365131417357957,0.5841975116608767,0.6673041995023363,nan
6,0.6369067741308272,0.5841073086933541,0.6675892199142137,nan
7,0.6355663873166778,0.5904104990360821,0.6621813381078439,nan
8,0.6350388438934786,0.5911516157869312,0.6558180767460813,nan
9,0.633819048413048,0.5892627524452982,0.6547333595752309,nan
10,0.6369561157239281,0.5885029796928569,0.6596105570418143,nan
11,0.6387655170403131,0.5896368744772907,0.6617426680683675,nan
12,0.6393861086725143,0.5901091591927028,0.6580906446296695,nan
13,0.6412265021773144,0.59748131941947,0.6584310675544506,nan
14,0.6418919361432809,0.6019706669839794,0.6590851005891218,nan
15,0.6444249967451547,0.6037952126702222,0.6603186097709779,nan
16,0.6460832738574172,0.6059243201978897,0.6594931008514757,nan
17,0.6484915002931823,0.6111451475806702,0.6676332120920666,nan
18,0.6495329692747303,0.6089657648331096,0.6701825259526845,nan
19,0.649812672451764,0.6075040777830814,0.673826557074856,nan
20,0.6502662027878202,0.608831246567396,0.6763543014840168,nan
21,0.6520776901927461,0.6086889797603832,0.6792229156369456,nan
22,0.6510870494857808,0.6076901644002433,0.6836433431256499,nan
23,0.651503543457872,0.6110892742096287,0.684928101823924,nan
24,0.6515989070689546,0.6123762250939782,0.6835834783241121,nan
25,0.6519179082997157,0.6109371936055616,0.6850232972714243,nan
26,0.6517143617189437,0.6109219974857081,0.6862994929471508,nan
27,0.6510670482651795,0.609589185584068,0.6864687004703913,nan
28,0.6505087537286499,0.607512194934941,0.6882248965557018,nan
29,0.650539410944593,0.6072406092041744,0.687533953724282,nan
